system:index,area,band,class,class_name,.geo
18_0_0,0.22686066296386714,classification_2003,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_1,152460.50637531906,classification_2003,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_2,796.7023200411986,classification_2003,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_3,4.136490481140136,classification_2003,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_4,1231.0926514091464,classification_2003,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_5,3302.235361012263,classification_2003,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_6,19.80153886077942,classification_2003,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_7,1704.2058811101074,classification_2003,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_8,14.294662438903826,classification_2003,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_0,0.23926042236328124,classification_2004,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_1,151713.75799299794,classification_2004,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_2,783.1455805017073,classification_2004,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_3,4.095855545959472,classification_2004,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_4,1200.1988336520012,classification_2004,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_5,4071.9726848165897,classification_2004,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_6,20.114795803284277,classification_2004,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_7,1729.5001133546102,classification_2004,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_8,10.177024240600586,classification_2004,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_0,0.24186639184570316,classification_2005,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_1,151210.9555773319,classification_2005,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_2,770.0913250296607,classification_2005,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_3,4.122467381408691,classification_2005,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_4,1211.5457482693776,classification_2005,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_5,4592.458376401065,classification_2005,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_6,20.75833935601841,classification_2005,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_7,1710.6101530194685,classification_2005,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_8,12.418288153808607,classification_2005,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_0,0.2330651494750976,classification_2006,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_1,150924.39446875584,classification_2006,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_2,761.0279341347673,classification_2006,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_3,4.080916419616697,classification_2006,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_4,1171.569668948148,classification_2006,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_5,4885.4786649077205,classification_2006,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_6,21.163614381408856,classification_2006,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_7,1758.5026534296437,classification_2006,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_8,6.751155207519525,classification_2006,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_0,0.23671269152832025,classification_2007,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_1,150664.18433533836,classification_2007,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_2,740.1239971076022,classification_2007,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_3,4.046521946533201,classification_2007,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_4,1193.6140653987054,classification_2007,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_5,5172.109506280829,classification_2007,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_6,21.722370337585545,classification_2007,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_7,1728.4897004587333,classification_2007,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_8,8.674931774597166,classification_2007,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_0,0.24105447021484377,classification_2008,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_1,150374.03132427085,classification_2008,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_2,720.7384666729075,classification_2008,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_3,4.036764380615233,classification_2008,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_4,1190.5728069053002,classification_2008,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_5,5489.897514392414,classification_2008,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_6,21.920569088073783,classification_2008,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_7,1721.297926942624,classification_2008,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_8,0.018579883544921877,classification_2008,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_9,10.44713432763672,classification_2008,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_0,0.24550003222656247,classification_2009,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_1,150112.2089691133,classification_2009,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_2,706.5644495573705,classification_2009,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_3,3.9739634051513666,classification_2009,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_4,1174.6758622878704,classification_2009,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_5,5769.963107108497,classification_2009,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_6,22.21419495727534,classification_2009,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_7,1730.7397363529653,classification_2009,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_8,0.018579883544921877,classification_2009,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_9,12.59777863592533,classification_2009,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_0,0.2419696807861328,classification_2010,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_1,149970.53669324264,classification_2010,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_2,699.137458384336,classification_2010,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_3,4.019916692321776,classification_2010,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_4,1189.8199961614666,classification_2010,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_5,5923.025463178543,classification_2010,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_6,22.878336291198877,classification_2010,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_7,1708.4507828416802,classification_2010,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_8,15.091524861206091,classification_2010,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_0,0.24828159997558585,classification_2011,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_1,149756.9080510544,classification_2011,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_2,672.2406399291967,classification_2011,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_3,4.09937888153076,classification_2011,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_4,1218.9225148210114,classification_2011,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_5,6163.125378874685,classification_2011,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_6,23.11546833691434,classification_2011,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_7,1680.609351426326,classification_2011,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_8,0.23466056652832018,classification_2011,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_9,13.698415843566904,classification_2011,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_0,0.24997615734863285,classification_2012,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_1,149637.8833008364,classification_2012,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_2,656.2149561014999,classification_2012,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_3,4.033970229003904,classification_2012,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_4,1226.097000017663,classification_2012,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_5,6286.616518658474,classification_2012,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_6,23.50287408648751,classification_2012,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_7,1677.862856645933,classification_2012,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_8,0.23466056652832018,classification_2012,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_9,20.506028034606913,classification_2012,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_0,0.2180171162719727,classification_2013,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_1,149572.53153366473,classification_2013,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_2,648.4547599847425,classification_2013,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_3,4.039332307373047,classification_2013,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_4,1200.3424393832706,classification_2013,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_5,6338.034935259186,classification_2013,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_6,25.24708964349415,classification_2013,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_7,1710.658984696593,classification_2013,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_8,33.675049279113786,classification_2013,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_0,0.22690876129150397,classification_2015,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_1,149263.399620809,classification_2015,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_2,682.1317319955447,classification_2015,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_3,4.0049242648315415,classification_2015,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_4,1250.9471256877102,classification_2015,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_5,6563.325924361529,classification_2015,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_6,27.767740144164943,classification_2015,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_7,1700.9140610413208,classification_2015,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_8,1.564986107727052,classification_2015,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_9,38.91911816125487,classification_2015,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_0,0.22871909155273443,classification_2016,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_1,148866.79696782125,classification_2016,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_2,677.0101752902231,classification_2016,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_3,3.991660801757811,classification_2016,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_4,1259.6493275623448,classification_2016,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_5,6929.222524489597,classification_2016,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_6,27.808736457153216,classification_2016,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_7,1709.7026985156242,classification_2016,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_8,11.54467934033213,classification_2016,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_9,47.24665196466061,classification_2016,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_0,0.2260467130737304,classification_2017,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_1,148477.595343551,classification_2017,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_2,670.8181475447401,classification_2017,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_3,3.9978744573974607,classification_2017,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_4,1244.7772829311248,classification_2017,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_5,7315.729238612497,classification_2017,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_6,29.00306856555235,classification_2017,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_7,1724.0481261392783,classification_2017,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_8,20.60905884808359,classification_2017,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_9,46.39795397149652,classification_2017,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_0,0.2428880170898438,classification_2018,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_1,147830.73332275375,classification_2018,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_2,634.723708089478,classification_2018,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_3,4.043791808105468,classification_2018,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_4,1233.8168358017974,classification_2018,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_5,7991.501011750056,classification_2018,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_6,29.078040934753936,classification_2018,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_7,1722.0831720958238,classification_2018,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_8,26.47185674334726,classification_2018,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_9,60.50751333990435,classification_2018,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_0,0.26599505755615244,classification_2019,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_1,147265.61614751443,classification_2019,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_2,616.643023083251,classification_2019,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_3,4.060513501525879,classification_2019,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_4,1256.662193562117,classification_2019,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_5,8563.919889532906,classification_2019,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_6,29.107512732788628,classification_2019,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_7,1686.92318630871,classification_2019,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_8,44.67613436029038,classification_2019,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_9,65.32754568041973,classification_2019,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_0,0.2873372546386719,classification_2020,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_1,145993.89072830396,classification_2020,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_2,576.7244617646471,classification_2020,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_3,4.088841203552246,classification_2020,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_4,1203.2912206291353,classification_2020,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_5,9881.567423871347,classification_2020,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_6,29.94560828521834,classification_2020,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_7,1735.699669166441,classification_2020,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_8,55.329351370971125,classification_2020,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_9,52.37749948480195,classification_2020,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
